title,authors,publisher,publishedDate,description,genre,pageCount,averageRating,review_count,price,currency,language,popularity_score
The Last Queen of India,Michelle Moran,Unknown,2015-04-02,"1857. As the British look to extend the Commonwealth, the skills of Lakshmi and Sita - the greatest female warriors India has ever seen - are put to the test.",India,0.0,0.0,0.0,0.0,Unknown,en,0.0
Renegade Heart,Madeline Baker,Leisure Books,1989,"Wounded renegade Logan Tyree is taken in by Rachel Halloran with a bullet in his side--and a price on his head. Logan will answer to no one, and if Rachel wants his love, she will have to give up her innocence, her reputation, and her very heart and soul.",Fiction,484.0,0.0,0.0,0.0,Unknown,en,0.0
Hira Singh's Tale,Talbot Mundy,Good Press,2021-11-09,"In ""Hira Singh's Tale,"" Talbot Mundy masterfully weaves a rich tapestry of adventure, spirituality, and cultural nuance set against the backdrop of British India. The narrative unfolds through the eyes of the titular character, Hira Singh, a complex figure navigating the tensions of loyalty, honor, and destiny. Mundy'Äôs lyrical prose and vibrant imagery immerse readers in the mystique of the Indian landscape while exploring themes of colonialism and identity. The book stands as a testament to the author'Äôs ability to combine thrilling escapades with profound philosophical reflections, aligning it with the literary tradition of early 20th-century adventure novels that seek to grapple with the complexities of imperial encounters. Talbot Mundy, born in 1879 in England, spent considerable time in the Indian subcontinent, experiences that profoundly influenced his writing. His background as a journalist and adventurer, coupled with a fascination for Eastern philosophies, carves a unique lens through which Mundy views the world. This personal journey provided the foundation for ""Hira Singh's Tale,"" allowing him to authentically capture the vibrancy of Indian culture and the intricacies of human relationships. This engaging tale is highly recommended for readers intrigued by historical fiction that delves into the interplay of cultures and the depth of the human spirit. Mundy'Äôs keen insights and captivating storytelling ensure that ""Hira Singh's Tale"" not only entertains but also educates, inviting readers to reflect on their own place within the tapestry of history.",Fiction,221.0,0.0,0.0,0.99,USD,en,0.0
Danger Along the Ohio,Patricia Willis,Harper Collins,1999-03-09,"Lost in the Ohio River Valley in May 1793, twelve-year-old Clare and her two brothers struggle to survive in the wilderness and to avoid capture by the Shawnee Indians.",Juvenile Fiction,196.0,0.0,0.0,0.0,Unknown,en,0.0
Cheyenne Song,Georgina Gentry,Zebra Books,2014-05-16,"A novel of unexpected passion from the author who “brings the West and her characters to life and gives her fans hours of true reading pleasure” (Romantic Times). Fort Reno, 1878. Glory Halstead faced her captor with the same pride and courage that had seen her through hardship and bitter scandal and vowed to be strong. She didn’t know what Two Arrows intended to do with her. But she knew her life had changed forever that fateful night she had witnessed three hundred Cheyenne fleeting captivity at Fort Reno. Two Arrows wanted vengeance—and he would get it by making another man’s woman his own. Yet as captain David Krueger of the U.S. cavalry rode hard and fast with his troops to recapture the woman he loved and the Cheyenne he hated, Glory was losing her heart to a man, a people, and a new life. Now as they made the brutal journey through the harsh, unforgiving wilderness, Glory and Two Arrows would discover passion as primal and unyielding as the land they were destined to tame . . . “Gentry’s best book yet!”—Janelle Taylor, New York Times bestselling author Praise for Georgina Gentry and the Panorama of the Old West series “Another wonderful battle-of-the-sexes novel . . . a most enjoyable read.”—Booklist (starred review) “Sharp, sexy repartee . . . filled with wit and ribald humor, double-crosses and heated passion, this is the most delightful Western of the season.”—Romantic Times “Ms. Gentry writes tantalizing love scenes by creating an ambience of romance.”—Rendezvous ""Nobody does it like Georgina Gentry!""— Barbra Critiques",Fiction,360.0,0.0,0.0,0.0,Unknown,en,0.0
"Sovereign Justice (Choctaw Tribune Historical Fiction Series, Book Four)",Sarah Elisabeth Sawyer ,RockHaven Publishing,2021-08-24,"Ruth Ann wondered if she and her brother would ever fully trust each other again. When Ruth Ann Teller learns the shocking truth her brother Matthew brings back from the coal mines in Choctaw Nation, she is devastated beyond words. Determined to piece her family back together, Ruth Ann resolves to find and hire the best lawyer in Indian Territory. But the best lawyer happens to be the Teller family’s opposition: Tecumseh Shoemaker, who is determined to bring justice by pitting the family against one another. Broken trust with her brother pushes Ruth Ann to an unlikely alliance with the one person who promises to help her—Pepper Barnes. But Pepper harbors his own agenda, one that includes wrangling Ruth Ann into traveling to Washington, D.C. with a political delegation from the Choctaw Nation, serving as a reporter for the Choctaw Tribune. In D.C., Ruth Ann’s hope turns to full-blood Choctaw lawyer Benjamin Nakishi, a man on the cusp of greatness—and who has his own troubled past and reasons not to return with her to Indian Territory. With a wounded heart and the future of her family hanging in the balance, Ruth Ann is caught in the swirl of politics, historical injustices, and romance in a bustling city full of its own stories and secrets. A judgment is coming that will affect the Teller family forever—but will justice truly be served? *** About the Choctaw Tribune Historical Fiction series: These books let you explore the old Choctaw Nation with Matthew and Ruth Ann Teller, a Choctaw brother and sister pair who own a newspaper, the Choctaw Tribune. They're in the midst of shootouts and tribal upheavals with the coming Dawes Commission in the 1890s. The changes in Indian Territory threaten everything they've known and force them to decide if they are going to take a stand for truth, even in the face of death. A clean historical fiction series with a Western flair, the Choctaw Tribune explores racial, political, spiritual, and social issues in the old Choctaw Nation—and beyond. Books in the series: The Executions (Book 1) Traitors (Book 2) Shaft of Truth (Book 3) Sovereign Justice (Book 4) Fire and Ink (Book 5) (Coming August 2023) Choctaw Tribune Boxset (Books 1 -3)",Fiction,403.0,0.0,0.0,5.99,USD,en,0.0
The Refugees,Arthur Conan Doyle,e-artnow,2017-10-06,"This eBook edition of ""The Refugees"" has been formatted to the highest digital standards and adjusted for readability on all devices. The Refugees revolves around Amory de Catinat, a Huguenot guardsman of Louis XIV, and Amos Green, an American who comes to visit France. The novel depicts Louis XIV's marriage to Madame de Maintenon, retirement from court of Madame de Montespan, the revoking of the Edict of Nantes and the subsequent emigration of the Huguenot de Catinats to America. Arthur Conan Doyle (1859-1930) was a British writer best known for his detective fiction featuring the character Sherlock Holmes. The Sherlock Holmes stories are generally considered milestones in the field of crime fiction. Doyle is also known for writing the fictional adventures of Professor Challenger and for propagating the mystery of the Mary Celeste. He was a prolific writer whose other works include fantasy and science fiction stories, plays, romances, poetry, non-fiction and historical novels.",Fiction,308.0,0.0,0.0,1.99,USD,en,0.0
Savage Pride,Cassie Edwards,Leisure Books,1995,"The latest blazing Indian historical romance in the million-selling Savage series, which includes Savage Spirit, Savage Embers, Savage Mists, Savage Sunrise, and Savage Promise. A fiery hellcat who can shoot like a man searches the wilderness for her missing brother--and ends up in the strong embrace of a mighty Choctaw warrior, who's determined to win her heart.",Fiction,456.0,0.0,0.0,0.0,Unknown,en,0.0
To Catch the Lightning,Alan Cheuse,"Sourcebooks, Inc.",2008,"""Until someone tells you, you never know in whose dreams you appear..."" - From the prologue of To Catch the Lightning What is the price of our dreams? Beginning in the late 1890s, Edward Sheriff Curtis undertook the seemingly overwhelming odyssey of capturing the past, of documenting and photographing the fading way of life of the American Indian. In To Catch the Lightning, Alan Cheuse has created a remarkable portrait of the man who would become a legend. Drawn on his epic journey by a series of female muses, Curtis turns his lens on a landscape of unparalleled beauty and tradition. Curtis@ desire to complete his destiny as foretold by Chief Joseph, to photograph all of the hundreds of western American Indian tribes, is a haunting tale of the struggle between ambition and duty. The architect of the finest lasting visual record of a culture close to extinction, Curtis stands as a testament to the power of the sacrifices we make for the dreams that compel us. With the ear of a poet and the eye of a historian, Cheuse has crafted a masterwork of American historical fiction. Lyrical, beautifully written, and impressively researched, To Catch the Lightning is a novel of the American spirit. PRAISE FOR TO CATCH THE LIGHTNING: ""To Catch the Lightning is a story of loss - of choices made and prices paid, of the future coming fast and the past disappearing faster. Cheuse@s narrative is refracted through multiple voices, each distinct, but each containing its own poetic precision. A wonderful, wonderful book of quiet power and great beauty."" - Karen Joy Fowler, author of Wit@s End and The Jane Austen Book Club ""To Catch the Lightning tells Curtis@ story vividly and eloquently. It is a great American story, about a life spent preserving and honoring those elements of life which are most respected and beloved. Alan Cheuse is to be congratulated for this vivid novel."" - William Kittredge, author of The Willow Field and The Next Rodeo ""Bravo to Cheuse for this incarnation of a major and unfairly forgotten American artist, capturing an era so crucial in native American, and therefore American history. I found it immediate and innovative."" - Diane Johnson, author of Le Divorce and Lulu in Marrakech ""The photography and cinema of Edward Curtis exist at the intersection of art, history, anthropology, and technology. He was an essentially American kind of genius, and Alan Cheuse has transformed his life into compelling fiction that digs deep into the mystery and sacrifice and selfishness of creative vision."" - Charles Frazier, author of Cold Mountain and Thirteen Moons ""... the narrative brims with keen insight."" - Publishers Weekly ""Curtis devoted his life to creating the most significant and comprehensive retrospective of American Indian culture, which he viewed as @one of the great races of mankind.@ Curtis correctly predicted that the culture was near extinction ... and much of his work remains the only recorded history of a civilization even then becoming the stuff of legend."" - ForeWord Magazine Catch Alan Cheuse in your town: Key West, FL:January - Key West Lit",Fiction,530.0,0.0,0.0,0.0,Unknown,en,0.0
The Spirit Path,Madeline Baker,Leisure Books,1993,"Baker, with thirteen novels to her credit, once again blazes a trail of desire and bliss that will leave readers clamoring for more. Strong and wise beyond his years, Shadow Hawk, the spiritual leader of his people, is drawn by a mysterious vision to an unknown place--a distant time where passion and peril await. Madeline Baker's Indian Romances should not be missed --Romantic Times.",Fiction,454.0,0.0,0.0,0.0,Unknown,en,0.0
Apalachee,Joyce Rockwood Hudson,University of Georgia Press,2012-09-15,"In this ""deeply involving"" novel set in colonial Florida, a Native American woman is torn away from her husband and sold into slavery ( Booklist). Spanish missionaries have settled in the Apalachee homeland on the Florida panhandle, introducing new diseases to the native population and attempting to convert them to Christianity. Despite these changes, the Apalachees maintain an uneasy coexistence with the friars. Everything changes when English soldiers and their Indian allies from the colony of Carolina invade Spanish Florida. After being driven from her Apalachee homeland by the English, Native American wise woman Hinachuba Lucia is captured by Creek Indians and sold into slavery in Carolina, where she becomes a house slave at Fairmeadow, a turpentine plantation near Charles Town. Her beloved husband, Carlos, is left behind—free but helpless to get Lucia back. Swept by inexorable currents, Lucia's fate is interwoven with those of Juan de Villalva, a Spanish mission priest, and Isaac Bull, an Englishman in search of fortune in the New World. As the three lives unfold, we are drawn into a complex world where cultures meet and often clash. With compelling drama and historical accuracy, Apalachee portrays the decimation of the Indian mission culture of Spanish Florida by English Carolina during Queen Anne's war at the beginning of the eighteenth century—and the little-known institution of Indian slavery in America. ""[A] sweeping novel of Native American life during the early colonial period.""— Publishers Weekly ""This richly textured story follows the intertwined lives of Native American, Spanish, and British characters...Clearly a meticulous researcher, Hudson does the reader an additional service by providing notes at the end.""— Historical Novel Society",Fiction,626.0,3.0,1.0,11.99,USD,en,3.0
Savage Moon,Cassie Edwards,Unknown,2002,"As a child, Misshi Bradley watched each member of her family die on the trail west until she was stolen by renegade Indians. Now she's ready to start a family of her own, and Soaring Hawk is searching for a wife. In his eyes, Misshi reads a promise of passion that would never end, but can she trust him when his father is the renegade who destroyed her life once before?",Fiction,370.0,0.0,0.0,0.0,Unknown,en,0.0
The Routledge Research Companion to Popular Romance Fiction,"Jayashree Kamblé, Eric Murphy Selinger, Hsu-Ming Teo",Routledge,2020-08-11,"Popular romance fiction constitutes the largest segment of the global book market. Bringing together an international group of scholars, The Routledge Research Companion to Popular Romance Fiction offers a ground-breaking exploration of this global genre and its remarkable readership. In recognition of the diversity of the form, the Companion provides a history of the genre, an overview of disciplinary approaches to studying romance fiction, and critical analyses of important subgenres, themes, and topics. It also highlights new and understudied avenues of inquiry for future research in this vibrant and still-emerging field. The first systematic, comprehensive resource on romance fiction, this Companion will be invaluable to students and scholars, and accessible to romance readers.",Education,570.0,0.0,0.0,67.99,USD,en,0.0
Stereotypical Indians,"Eric Hannel, Karen Hannel",McFarland,2025-03-19,"This scholarly yet provocative work critically examines the persistent and evolving stereotypes of Native Americans in popular literature, spanning from the 19th to the 21st centuries. The book meticulously traces the roots of these portrayals, exploring their proliferation and their lasting impact on public perception and policy. Each chapter unveils a new layer of complexity, from the dime novels of the 1800s that painted Native Americans as savages, to children's literature that enforced colonial narratives, and onto romance novels and popular histories that perpetuated myths and misconceptions. The authors dissect these narratives critically, revealing how they contribute to a distorted understanding of Native American heritage and culture. Through an in-depth analysis of various literary genres, including comics and graphic novels, the book challenges readers to confront and rethink the deeply ingrained stereotypes that have long shaped American consciousness.",Social Science,216.0,0.0,0.0,0.0,Unknown,en,0.0
Conflict and Colonialism in 21st Century Romantic Historical Fiction,"Hsu-Ming Teo, Paloma Fresno-Calleja",Taylor & Francis,2024-06-13,"This book explores how postmillennial Anglophone women writers use romantic narrativisations of history to explore, revise, repurpose and challenge the past in their novels, exposing the extent to which past societies were damaging to women by instead imagining alternative histories. The novelists discussed employ the generic conventions of romance to narrate their understanding of historical and contemporary injustice and to reflect upon women’s achievements and the price they paid for autonomy and a life of public purpose. The volume seeks, firstly, to discuss the work of revision or reparation being performed by romantic historical fiction and, secondly, to analyse how the past is being repurposed for use in the present. It contends that the discourses and genre of romance work to provide a reparative reading of the past, but there are limitations and entrenched problems in such readings.",Literary Criticism,183.0,0.0,0.0,54.99,USD,en,0.0
"Love, Language, Place, and Identity in Popular Culture","María Ramos-García, Laura Vivanco",Bloomsbury Publishing PLC,2020-01-31,"Love, Language, Place, and Identity in Popular Culture: Romancing the Other explores the varied representations of Otherness in romance novels and other fiction with strong romantic plots. Contributors’ approaches range from sociolinguistics to cultural studies, and the texts analyzed are set on four continents, with particular emphasis on Caribbean and Atlantic islands. What all the essays have in common is the exploration of representations of the Other, be it in an inter-racial or inter-cultural relationship. Chapters are divided into two parts; the first examines place, travel, history, and language in 20th-century texts; while the second explores tensions and transformations in the depiction of Otherness, mainly in texts published in the early 21st century. This book reveals that even at the end of the 20th century, these texts display neocolonialist attitudes towards the Other. While more recent texts show noticeable changes in attitudes, these changes can often fall short, as stereotypes and prejudices are often still present, just below the surface, in popular novels. The understudied field of popular romance, in which the Other is frequently present as a love interest, proves to be a fruitful area in which to explore the potential and the realities of the treatment of Otherness in popular culture. Scholars of literature, communication, romance, and rhetoric will find this book particularly useful.",Language Arts & Disciplines,173.0,0.0,0.0,38.65,USD,en,0.0
"Writing India, 1757-1990",B. J. Moore-Gilbert,Manchester University Press,1996,This volume provides an analytic survey of the literature produced as a consequence of the long history of Britain's rule in India. It stretches from the establishment of British hegemony in the 1750's to the achievement of Indian independence in the postcolonial era almost two centuries later. Writing India concludes with a chapter on Salman Rushdie in order to suggest the complex relation of continuity as well as conflict between colonial and postcolonial constructions of India.,History,294.0,0.0,0.0,0.0,Unknown,en,0.0
Classified Catalogue of Books in the Punjab Public Library,"Panjāb Pablik Lāʼibrerī, Lāhaur",Unknown,1913,Unknown,Library resources,482.0,0.0,0.0,0.0,Unknown,en,0.0
The Librarian and Book World,,Unknown,1926,Unknown,Libraries,552.0,0.0,0.0,0.0,Unknown,en,0.0
Blackwood's Edinburgh Magazine,,Unknown,1897,Unknown,England,1196.0,0.0,0.0,0.0,Unknown,en,0.0
The Penguin Book of Classical Indian Love Stories and Lyrics,Ruskin Bond,Penguin Books India,1996,"A compilation of love stories and poems from the classical literature and folklore of India Set in regions of great natural beauty where Kamadeva, the god of love, picks his victims with consummate ease, these stories and lyrics celebrate the myriad aspects of love. In addition to relatively well-known works like Kalidasa's Meghadutam and Prince Ilango Adigal's Shilappadikaram, the collection features lesser-known writers of ancient India like Damodaragupta (eighth century AD), whose 'Loves of Haralata and Dundarasena' is about a high-born man's doomed affair with a courtesan; Janna (twelfth century), whose Tale of the Glory-Bearer is extracted here for the story of a queen who betrays her handsome husband for a mahout, reputed to be the ugliest man in the kingdom; and the Sanskrit poets Amaru and Mayaru (seventh century), whose lyrics display an astonishing perspective on the tenderness, the fierce passion and the playful savagery of physical love. Also featured are charming stories of Hindu gods and goddesses in love, and nineteenth-century retellings of folk tales from different regions of the country like Kashmir, Punjab, Maharashtra and Rajasthan. Both passionate and sensuous in its content, this book is sure to appeal to the romantic in all of us.",Literary Collections,268.0,0.0,0.0,0.0,Unknown,en,0.0
The Indo-English Novel,Klaus Steinvorth,Unknown,1975,Unknown,Literary Criticism,170.0,0.0,0.0,0.0,Unknown,en,0.0
"The Early American Novel, 1789-1830",Lillie Deming Loshe,Unknown,1958,Unknown,American fiction,152.0,0.0,0.0,0.0,Unknown,en,0.0
Selling the Indian,"Carter Jones Meyer, Diana Royer",Tucson : University of Arizona Press,2001-08,"A collection of essays consider the selling of American Indian culture and how it affects the Native community, showing how appropriation of American Indian cultures have been persistent practices of American society over the last century, constituting a form of cultural imperialism that could contribute to the destruction of American Indian culture and identity.",History,312.0,0.0,0.0,0.0,Unknown,en,0.0
Plain Sailing,Harold Begbie,London : Mills & Boon,1929,Unknown,,312.0,0.0,0.0,0.0,Unknown,en,0.0
The English Catalogue of Books ...,Sampson Low,Unknown,1910,Unknown,English literature,344.0,0.0,0.0,0.0,Unknown,en,0.0
The English Catalogue of Books [annual],,Unknown,1910,Vols. for 1898-1968 include a directory of publishers.,English literature,344.0,0.0,0.0,0.0,Unknown,en,0.0
There and Back,Frank Richardson,Unknown,1904,Unknown,,392.0,0.0,0.0,0.0,Unknown,en,0.0
Actes Du ... Congrès de L'Association Internationale de Littérature Comparée,International Comparative Literature Association. Congress,Unknown,1980,Unknown,Comparative literature,1016.0,0.0,0.0,0.0,Unknown,en,0.0
Actes Du VIIIe Congrès de L'Association Internationale de Littérature Comparée: Littératures de diverses cultures au vingtième siècle,International Comparative Literature Association. Congress,Unknown,1980,Unknown,Comparative literature,1016.0,0.0,0.0,0.0,Unknown,en,0.0
The Idler Magazine,,Unknown,1904,Unknown,Great Britain,860.0,0.0,0.0,0.0,Unknown,en,0.0
Red Ink,,Unknown,1996,Unknown,Indians of North America,212.0,0.0,0.0,0.0,Unknown,en,0.0
What Do I Read Next?,,Unknown,1994,Unknown,Fiction,688.0,0.0,0.0,0.0,Unknown,en,0.0
Truth,,Unknown,1898,Unknown,,1632.0,0.0,0.0,0.0,Unknown,en,0.0
"""Joined Together in History""",Catherine Carrie Griffin,Unknown,2000,Unknown,African American women authors,638.0,0.0,0.0,0.0,Unknown,en,0.0
The Raj in Fiction,Udayon Misra,Conran Octopus,1987,Unknown,Literary Criticism,216.0,0.0,0.0,0.0,Unknown,en,0.0
The Sources and Influence of the Novels of Charles Brockden Brown,Lulu Rumsey Wiley,Unknown,1950,Unknown,,406.0,0.0,0.0,0.0,Unknown,en,0.0
"Novels in English by Women, 1891-1920","Janet Grimes, Diva Daims",Scholarly Title,1981,Unknown,Reference,830.0,0.0,0.0,0.0,Unknown,en,0.0
Nationalism in Indo-Anglian Fiction,Gobinda Prasad Sarma,New Delhi : Sterling,1978,Unknown,Literary Collections,426.0,0.0,0.0,0.0,Unknown,en,0.0
The Unitarian Register,,Unknown,1926,Unknown,Unitarianism,1218.0,0.0,0.0,0.0,Unknown,en,0.0
Engendering Empire,LeeAnne Marie Richardson,Unknown,2000,Unknown,,568.0,0.0,0.0,0.0,Unknown,en,0.0
Holland,Edmondo De Amicis,Unknown,1894,Unknown,Netherlands,366.0,0.0,0.0,0.0,Unknown,en,0.0
The New York Times Book Review,,Unknown,1970,"Presents extended reviews of noteworthy books, short reviews, essays and articles on topics and trends in publishing, literature, culture and the arts. Includes lists of best sellers (hardcover and paperback).",Books,880.0,0.0,0.0,0.0,Unknown,en,0.0
Savage Tempest,Cassie Edwards,Unknown,2006,A Pawnee warrior's father has demanded he abduct a white woman and that woman becomes Joylynn. But love wins both their hearts.,Pawnee Indians,356.0,0.0,0.0,0.0,Unknown,en,0.0
The Fiction of Imperialism,Phillip Darby,Weidenfeld & Nicolson,1998,"The Fiction of Imperialism attempts to promote dialogue between international relations and postcolonialism. It addresses the value of fiction to an understanding of the imperial relationship between the West and Asia and Africa. A wide range of fiction and criticism is examined as it pertains to colonialism, in North/South engagement and contemporary Third World politics.",History,270.0,0.0,0.0,0.0,Unknown,en,0.0
Victorian Traffic,Sue Thomas,Cambridge Scholars Publishing,2008,"Organised around the themes Home and Abroad, Performative Traffic, and Image, Circulation, Mobility, Victorian Traffic: Identity, Performance, Exchange variously addresses the cultural dimensions of traffic in the long Victorian period: cross-cultural experience; colonial and racial imaginaries; everyday, literary, autobiographical and professional stagings of identity; and trade in metaphors, communications, texts, images, celebrity, character types, and quilts. The concept of traffic underpins historical interpretation and theoretical formulations, and the rhetorics of trade in Victorian usage are contextualised. Understandings of identity emphasise the performative and the negotiation of agency in relation to social and cultural scriptings of gender, class, ethnicity and community. The essays have a wide global range and reach. This collection of essays takes as its theme an enormously important concept for the nineteenth century: traffic, a term that, in a time of unprecedented commercial and imperial expansion, technological developments, population growth and urbanization, acquired new resonance, and came to signify the intensely transactional nature of modernity. One of Ruskinâ (TM)s most searing critiques of the spiritual condition of England, an invited lecture he delivered in 1864 on the topic of the Bradford Exchange, is entitled â ~Trafficâ (TM), and the word clearly signifies for him all that is wrong with post-industrial capitalism. But this stimulating volume encompasses a range of other significations that have additionally come to accrue around the term, relating for example to inter-cultural exchange, to the circulation of ideas and images, to the commodification of identity, and to literature, art and performance in the market place. The scope of the collection is, appropriately, global, including essays on Englandâ (TM)s relations of exchange with Australia, New Zealand, North America, the Far East, and the Caribbean. What we are shown ineluctably is that the traffic between Victorian Britain and the reaches of empire, between Home and Abroad, was two-way, a vehicle for cross-cultural encounter, mediation and trade; and that cultural identity is relational, circulatory and always in motion. â ""Hilary Fraser, Birkbeck, University of London",History,358.0,0.0,0.0,0.0,Unknown,en,0.0
Abstracts in Anthropology,,Unknown,1992,"Quarterly. References to journal articles, miscellaneous papers, and books, arranged under sections on archaeology, ethnology, linguistics, and physical anthropology. Cross references. Cross index.",Anthropology,864.0,0.0,0.0,0.0,Unknown,en,0.0
Savage Arrow,Cassie Edwards,Unknown,2006,"For sweet Jessie the wild and woolly Western town seemed the end of the line. First orphaned and then widowed, she had no one to turn to except a distant cousin who had made a fortune in silver.",Fiction,344.0,0.0,0.0,0.0,Unknown,en,0.0
Standard Catalog,H.W. Wilson Company,Unknown,1923,Unknown,Best books,170.0,0.0,0.0,0.0,Unknown,en,0.0
"Movies, Masculinity, and Modernity",Steve Derne,Praeger,2000-03-30,"Argues that films help Indian men handle their ambivalences about modernity by rooting their sense of ""Indianness"" in women's acceptance of traditional food habits, clothing, and gender subordination.",Performing Arts,234.0,0.0,0.0,0.0,Unknown,en,0.0
So You Want to Write about American Indians?,Devon A. Mihesuah,Bison Books,2005,"So You Want to Write about American Indians? is the first of its kind--an indispensable guide for anyone interested in writing and publishing a novel, memoir, collection of short stories, history, or ethnography involving the Indigenous peoples of the United States. In clear language illustrated with examples--many from her own experiences--Choctaw scholar and writer Devon Abbott Mihesuah explains the basic steps involved with writing about American Indians. So You Want to Write about American Indians? provides a concise overview of the different types of fiction and nonfiction books written about Natives and the common challenges and pitfalls encountered when writing each type of book. Mihesuah presents a list of ethical guidelines to follow when researching and writing about Natives, including the goals of the writer, stereotypes to avoid, and cultural issues to consider. She also offers helpful tips for developing ideas and researching effectively, submitting articles to journals, drafting effective book proposals, finding inspiration, contacting an editor, polishing a manuscript, preparing a persuasive résumé or curriculum vitae, coping with rejection, and negotiating a book contract.",Language Arts & Disciplines,186.0,0.0,0.0,0.0,Unknown,en,0.0
Annals,Association for Asian Studies. Southeast Conference,Unknown,1987,Unknown,Asia,448.0,0.0,0.0,0.0,Unknown,en,0.0
The Writer's Digest Handbook of Novel Writing,Tom Clark,Unknown,1992,"In essays drawn primarily from Writer's digest magazine, noted novelists, leading editors, and teachers address the specifics of novel writing--from how to create dialogue to how to negotiate a contract with a publisher. Annotation copyrighted by Book News, Inc., Portland, OR",Language Arts & Disciplines,280.0,0.0,0.0,0.0,Unknown,en,0.0
Forster's A Passage to India,"Gour Kishore Das, Christel R. Devadawson",Unknown,2005,"The Volume Revaluates A Passage To India In Terms Of The Role Of Its Central Characters, The Polarities Between Hinduism And Islam, The Myths And Possibilities Of Cross-Cultural Friendships, The Muddle And Mystery Of The Rape, The Cultural Paradigm Of The Colony And The Empire And Other Key Issues.",Literary Criticism,240.0,0.0,0.0,0.0,Unknown,en,0.0
Indian-English Literature,Elena I︠A︡kovlevna Kalinnikova,Unknown,1982,Unknown,Indic literature (English),250.0,0.0,0.0,0.0,Unknown,en,0.0
Who's who,"Henry Robert Addison, Charles Henry Oakes, William John Lawson, Douglas Brooke Wheelton Sladen",Unknown,1915,"An annual biographical dictionary, with which is incorporated ""Men and women of the time.""",Biography,2456.0,0.0,0.0,0.0,Unknown,en,0.0
The Taming of the Canadian West,Frank Rasky,Unknown,1967,Unknown,Canada,276.0,0.0,0.0,0.0,Unknown,en,0.0
Savage Beloved,Cassie Edwards,Unknown,2006,"Surviving a bloody massacre only to be captured by a vengeful Wichita chief named Two Eagles, Candy soon learns the ways of his people and discovers, at his hands, a passion unlike any she has ever known.",Fiction,376.0,0.0,0.0,0.0,Unknown,en,0.0
The House of Beadle and Adams and Its Dime and Nickel Novels,Albert Johannsen,Unknown,1950,Unknown,American fiction,530.0,0.0,0.0,0.0,Unknown,en,0.0
Historical Abstracts,,Unknown,1987,Unknown,"History, Modern",836.0,0.0,0.0,0.0,Unknown,en,0.0
Panorama of Czech Literature,,Unknown,1981,Unknown,"Authors, Czech",190.0,0.0,0.0,0.0,Unknown,en,0.0
Oh Calcutta,,Unknown,1977,Unknown,Calcutta (India),170.0,0.0,0.0,0.0,Unknown,en,0.0
Savage Rage,Cassie Edwards,Unknown,2007,"Previously titled ""Wild Thunder,"" this classic romance is available at a special price. Hannah Kody came to the Kansas Territory to find her freedom, but she'll discover her true destiny when she meets Strong Wolf, future chief of the Patawatomis. Reissue.",Fiction,374.0,0.0,0.0,0.0,Unknown,en,0.0
Ending with the year 1857,Alfred Theodore Andreas,Unknown,1884,Unknown,Chicago (Ill.),692.0,5.0,1.0,0.0,Unknown,en,5.0
Dictionary of Literary Biography,Sam G. Riley,Unknown,1988,Unknown,Journalists,456.0,0.0,0.0,0.0,Unknown,en,0.0
"The American Novel in France, 1919-1939",Jane V. Moriarty,Unknown,1954,Unknown,,564.0,0.0,0.0,0.0,Unknown,en,0.0
The Indian in Brazilian Literature,David Miller Driver,Unknown,1942,Unknown,Brazilian literature,208.0,0.0,0.0,0.0,Unknown,en,0.0
Saturday Review of Literature,,Unknown,1926,Unknown,American literature,1008.0,0.0,0.0,0.0,Unknown,en,0.0
After the Raj,David Rubin,Hanover : University Press of New England,1986,Unknown,History,224.0,0.0,0.0,0.0,Unknown,en,0.0
Athenaeum and Literary Chronicle,,Unknown,1905,Unknown,,820.0,0.0,0.0,0.0,Unknown,en,0.0
The Colonial and the Neo-colonial Encounters in Commonwealth Literature,H. H. Anniah Gowda,Unknown,1983,Unknown,Colonies in literature,272.0,0.0,0.0,0.0,Unknown,en,0.0
T.P.'s and Cassell's Weekly,,Unknown,1925,Unknown,England,888.0,0.0,0.0,0.0,Unknown,en,0.0
"Catalogue of Novels, Stories & Works of Fiction, Class ""C"" in the Classified Catalogue of Books","Jamsetjee Nesserwanjee Petit Institute, Bombay",Unknown,1940,Unknown,,312.0,0.0,0.0,0.0,Unknown,en,0.0
John O'London's Weekly,,Unknown,1921,Unknown,,0.0,0.0,0.0,0.0,Unknown,en,0.0
Apache Magic,Janis Reams Hudson,Diversion Books,2014-10-07,"“A novel to savor, a feast of realism, authenticity, and most of all, the magic and healing powers of love. Make room for Janis Reams Hudson on your keeper shelf.” — Romantic Times To the Apaches, Daniella Blackwood was an adopted daughter, respected and cherished. To their shaman, the bold white streak in her hair made her special and her visions in the flames make her a woman of magic. Yet no magic could protect Daniella from the passion that sears her senses when she first meets Travis Colton. To Arizona rancher Travis Colton, the mysterious Daniella is his only chance at rescuing his son. Travis and his ten-year-old son were captured by a band of Cochise's warriors. Left for dead, Travis managed to make his way home, determined to do whatever it takes to get his son back. Travis and Daniella's quest together will take more than magic; it will take a passion neither is ready to handle.",Fiction,466.0,0.0,0.0,0.0,Unknown,en,0.0
Current Index to Journals in Education,,Unknown,1997-04,Unknown,Education,1066.0,0.0,0.0,0.0,Unknown,en,0.0
